Track name, Artist name, Album, Playlist name, Type, ISRC
All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Christmas Hits,Playlist track,USSM19400325
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,Anthology 1956-1980 (Volume 1 & 2),Christmas Hits,Playlist track,USMC15848998
Last Christmas,Wham!,Christmas Hits,Christmas Hits,Playlist track,GBBBM8400019
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),Christmas Hits,Playlist track,USRE11100700
Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),Christmas Hits,Playlist track,USUM71116290
Jingle Bell Rock,Bobby Helms,Four Christmases,Christmas Hits,Playlist track,USMC15746480
Underneath the Tree,Kelly Clarkson,Wrapped In Red,Christmas Hits,Playlist track,GBCTA1300103
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,My Kind Of Christmas,Christmas Hits,Playlist track,USCA29800523
Santa Tell Me,Ariana Grande,Santa Tell Me,Christmas Hits,Playlist track,USUM71417401
Driving Home for Christmas,Chris Rea,The Works,Christmas Hits,Playlist track,GBAHS9904091
It's the Most Wonderful Time of the Year,Andy Williams,The Andy Williams Christmas Album,Christmas Hits,Playlist track,USSM16300086
Sleigh Ride,The Ronettes,A Christmas Gift For You From Phil Spector,Christmas Hits,Playlist track,USSM10905166
Holly Jolly Christmas,Michael Bublé,Christmas (Deluxe Special Edition),Christmas Hits,Playlist track,USRE11100705
Feliz Navidad,José Feliciano,The Definite Best,Christmas Hits,Playlist track,USRC19900930
Wonderful Christmastime (Edited Version) [Remastered],Paul McCartney,Now That's What I Call Christmas,Christmas Hits,Playlist track,GBCCS8401051
Snowman,Sia,Everyday Is Christmas (Deluxe Edition),Christmas Hits,Playlist track,USAT21704212
Do They Know It's Christmas? - 1984 Version,Band Aid,Do They Know Its Christmas?,Christmas Hits,Playlist track,GBF088400001
Merry Christmas Everyone - Remastered,Shakin' Stevens,Merry Christmas Everyone (Remastered),Christmas Hits,Playlist track,GBBBN0500739
Have Yourself A Merry Little Christmas,Sam Smith,Have Yourself A Merry Little Christmas,Christmas Hits,Playlist track,GBUM71406655
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,Christmas Songs By Sinatra,Christmas Hits,Playlist track,USSM10018232
It's Beginning To Look A Lot Like Christmas,Bing Crosby,White Christmas,Christmas Hits,Playlist track,USMC15151057
"Baby, It's Cold Outside - Remastered 2004",Dean Martin,Christmas Classics,Christmas Hits,Playlist track,USCA20400968
Santa Baby,Kylie Minogue,A Kylie Christmas,Christmas Hits,Playlist track,GBAYE0001406
Last Christmas,Ariana Grande,Christmas Kisses,Christmas Hits,Playlist track,USUM71318388
Santa Claus Is Coming to Town,Michael Bublé,Christmas (Deluxe Special Edition),Christmas Hits,Playlist track,USRE11100701
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,Power To The People - The Hits,Christmas Hits,Playlist track,GBAYE1000862
Christmas (Baby Please Come Home),Mariah Carey,Merry Christmas,Christmas Hits,Playlist track,USSM19402077
Like It's Christmas,Jonas Brothers,Like It's Christmas,Christmas Hits,Playlist track,USUG11903894
Santa Claus Is Coming To Town,The Jackson 5,Christmas Album,Christmas Hits,Playlist track,USMO17082641
A Holly Jolly Christmas - Single Version,Burl Ives,Christmas Eve,Christmas Hits,Playlist track,USMC16414508
Sleigh Ride,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),Christmas Hits,Playlist track,USF096025290
Step Into Christmas,Elton John,Caribou (Remastered),Christmas Hits,Playlist track,GBAMB9500053
Jingle Bells,Frank Sinatra,Ultimate Christmas,Christmas Hits,Playlist track,USCA29900545
"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,Glow,Christmas Hits,Playlist track,USAT21602517
White Christmas,Bing Crosby,Holiday Inn (Original Motion Picture Soundtrack),Christmas Hits,Playlist track,USMC14750470
The Christmas Song (Merry Christmas To You),Nat King Cole,The Christmas Song (Expanded Edition),Christmas Hits,Playlist track,USCA29900551
Joy To The World,Nat King Cole,"Christmas With Nat, Dean And Bing",Christmas Hits,Playlist track,USCA28600137
Winter Wonderland,Tony Bennett,Snowfall - The Tony Bennett Christmas Album,Christmas Hits,Playlist track,USSM19400327
I Saw Mommy Kissing Santa Claus,The Jackson 5,Christmas Album,Christmas Hits,Playlist track,USMO17082669
Santa Baby,Ariana Grande,Christmas Kisses,Christmas Hits,Playlist track,USUM71318549
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,Greatest Christmas Songs,Christmas Hits,Playlist track,USRC15106173
My Only Wish (This Year),Britney Spears,My Only Wish (This Year),Christmas Hits,Playlist track,USJI10000522
Rudolph The Red-Nosed Reindeer,Dean Martin,A Winter Romance,Christmas Hits,Playlist track,USCA28900496
This Christmas,Christina Aguilera,My Kind Of Christmas,Christmas Hits,Playlist track,USRC10000697
What Christmas Means To Me,Stevie Wonder,Someday At Christmas,Christmas Hits,Playlist track,USMO16782670
Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,Holiday Wishes,Christmas Hits,Playlist track,USWB11402616
A Holly Jolly Christmas,Brett Eldredge,Glow (Deluxe Edition),Christmas Hits,Playlist track,USWB11802016
Christmas (Baby Please Come Home),Darlene Love,Christmas Crooners and Classics,Christmas Hits,Playlist track,USSM10905172
Jingle Bell Rock,Daryl Hall & John Oates,Christmas Hits,Christmas Hits,Playlist track,USRC10400165
"Merry Christmas, Happy Holidays",*NSYNC,The Winter Album,Christmas Hits,Playlist track,DEA819800761
Thank God It's Christmas,Queen,Greatest Hits III,Christmas Hits,Playlist track,GBCEG8400019
Frosty The Snowman,Ella Fitzgerald,Christmas,Christmas Hits,Playlist track,USF096025350
I'll Be Home,Meghan Trainor,A Very Trainor Christmas,Christmas Hits,Playlist track,USSM12005226
Bring Me Love,John Legend,Have Yourself a Merry Little Christmas / Bring Me Love,Christmas Hits,Playlist track,USSM11807717
Run Rudolph Run,Chuck Berry,Rockin' Little Christmas,Christmas Hits,Playlist track,USMC15819663
Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,Elvis' Christmas Album,Christmas Hits,Playlist track,USRC15701156
Winter Wonderland,Hannah Kerr,Winter Wonderland,Christmas Hits,Playlist track,USS9T1800026
One More Sleep,Leona Lewis,"Christmas, With Love",Christmas Hits,Playlist track,GBHMU1300298
Last Christmas,James TW,Last Christmas,Christmas Hits,Playlist track,USUM71820667
Silent Night,Mariah Carey,Merry Christmas,Christmas Hits,Playlist track,USSM10026204
Mistletoe and Holly,Frank Sinatra,Let It Snow (All-Time Christmas Favorites! Remastered),Christmas Hits,Playlist track,GBURZ0800053
The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber,Under The Mistletoe (Deluxe Edition),Christmas Hits,Playlist track,USUM71116397
Santa's Coming for Us,Sia,Everyday Is Christmas,Christmas Hits,Playlist track,USAT21704210
The Christmas Song (Shawn Mendes & Camila Cabello),Shawn Mendes,Wonder (Deluxe),Christmas Hits,Playlist track,USUM72023748
Take Me Home For Christmas,Dan + Shay,Take Me Home For Christmas,Christmas Hits,Playlist track,USWB12004469
I Wish It Could Be Christmas Everyday,Wizzard,I Wish It Could Be Christmas Everyday,Christmas Hits,Playlist track,GBAYE7300088
Christmas Tree Farm,Taylor Swift,Christmas Tree Farm,Christmas Hits,Playlist track,USUG11904285
You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,You Make It Feel Like Christmas,Christmas Hits,Playlist track,USUM71708114
Christmas Lights,Coldplay,Christmas Lights,Christmas Hits,Playlist track,GBAYE1001401
Shake up Christmas,Train,"Save Me, San Francisco (Golden Gate Edition)",Christmas Hits,Playlist track,USSM11003859
Christmas Without You,Ava Max,Christmas Without You,Christmas Hits,Playlist track,USAT22006602
O Holy Night,Mariah Carey,Merry Christmas,Christmas Hits,Playlist track,USSM19400521
I'll Be Home for Christmas,Michael Bublé,Christmas,Christmas Hits,Playlist track,USRE11100712
Happy Xmas (War Is Over),Céline Dion,These Are Special Times,Christmas Hits,Playlist track,CAC229800219
Christmas Love,Justin Bieber,Under The Mistletoe (Deluxe Edition),Christmas Hits,Playlist track,USUM71116413
Under The Mistletoe,Kelly Clarkson,Under The Mistletoe,Christmas Hits,Playlist track,USAT22006597
Cozy Little Christmas,Katy Perry,Cozy Little Christmas,Christmas Hits,Playlist track,USUM71819190
Please Come Home for Christmas - 2013 Remaster,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),Christmas Hits,Playlist track,USEE11300376
Make It To Christmas,Alessia Cara,Make It To Christmas,Christmas Hits,Playlist track,USUM71922143
Wrapped in Red,Kelly Clarkson,Wrapped In Red,Christmas Hits,Playlist track,GBCTA1300102
Blue Christmas,Elvis Presley,Elvis' Christmas Album,Christmas Hits,Playlist track,USRC15701155
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,Christmas Hits,Christmas Hits,Playlist track,USSM17500461
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Christmas Hits,Playlist track,USQX92005061
Rudolph The Red-Nosed Reindeer,Burl Ives,Have A Holly Jolly Christmas,Christmas Hits,Playlist track,USMC16516116
My Kind Of Present,Meghan Trainor,A Very Trainor Christmas,Christmas Hits,Playlist track,USSM12005068
Do You Hear What I Hear? - Remastered 2006,Bing Crosby,Bing Crosby - Christmas Classics,Christmas Hits,Playlist track,USCA20600974
Man With The Bag,Jessie J,Man With The Bag,Christmas Hits,Playlist track,USUM71517734
Mistletoe and Wine,Cliff Richard,Together With Cliff Richard,Christmas Hits,Playlist track,GBAYE8800240
Naughty List (with Dixie),Liam Payne,Naughty List (with Dixie),Christmas Hits,Playlist track,GBUM72005653
Let It Snow (with Babyface),Tori Kelly,Let It Snow (with Babyface),Christmas Hits,Playlist track,USUM72018895
Lonely This Christmas,Mud,"A's, B's And Rarities",Christmas Hits,Playlist track,GBAYE7400041
Rockin' Around The Christmas Tree,Mel & Kim,Julemusik 2018,Christmas Hits,Playlist track,GBAAA8700049
Amazing Grace (My Chains Are Gone),Pentatonix,We Need A Little Christmas,Christmas Hits,Playlist track,USRC12003429
"Oh Holy Night - Recorded at Metropolis Studios, London",Nina Nesbitt,Spotify Singles - Christmas,Christmas Hits,Playlist track,GBCEJ1800217
All I Want (For Christmas),Liam Payne,All I Want (For Christmas),Christmas Hits,Playlist track,GBUM71905045
Have Yourself a Merry Little Christmas,Christina Aguilera,My Kind Of Christmas,Christmas Hits,Playlist track,USRC10000692
It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC,Norah Jones,Spotify Singles - Holiday,Christmas Hits,Playlist track,USUM71712906
This Christmas,Donny Hathaway,A Donny Hathaway Collection,Christmas Hits,Playlist track,USAT20180585
The First Noël (with Faith Hill),Josh Groban,Noël,Christmas Hits,Playlist track,USRE10701716
Christmas Time,Backstreet Boys,Christmas Hits,Christmas Hits,Playlist track,USJI10000524
"Holidays (feat. Earth, Wind & Fire)",Meghan Trainor,A Very Trainor Christmas,Christmas Hits,Playlist track,USSM12005072
The Lighthouse Keeper,Sam Smith,The Lighthouse Keeper,Christmas Hits,Playlist track,GBUM72006086
I Need You Christmas,Jonas Brothers,I Need You Christmas,Christmas Hits,Playlist track,USUG12004111
"White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London",George Ezra,"White Christmas (Spotify Singles - Holiday, Recorded at Air Studios, London)",Christmas Hits,Playlist track,GBARL1702164
"Cuddle Up, Cozy Down Christmas",Dolly Parton,A Holly Dolly Christmas,Christmas Hits,Playlist track,ZZOPM2003058
Grown-Up Christmas List,Jordan Smith,'Tis The Season,Christmas Hits,Playlist track,USUM71609062
Little Drummer Boy,for KING & COUNTRY,A Drummer Boy Christmas,Christmas Hits,Playlist track,USM1C2000073
Glittery - From The Kacey Musgraves Christmas Show,Kacey Musgraves,The Kacey Musgraves Christmas Show,Christmas Hits,Playlist track,USUM71922786
Fairytale of New York (feat. Kirsty MacColl),The Pogues,If I Should Fall from Grace with God (Expanded Edition),Christmas Hits,Playlist track,GBAHT8703085
Merry Christmas Baby,Otis Redding,Pure Southern Soul,Christmas Hits,Playlist track,USAT20000317
2000 Miles - 2007 Remaster,Pretenders,Learning to Crawl (Expanded & Remastered),Christmas Hits,Playlist track,GBAHT0700195
Frosty the Snowman,Fiona Apple,I'll Be Home For Christmas,Christmas Hits,Playlist track,USSM10313422
It's Christmas,Jamie Cullum,The Pianoman at Christmas,Christmas Hits,Playlist track,GBUM72004655
Christmas Time Is Here,Brett Eldredge,Glow (Deluxe Edition),Christmas Hits,Playlist track,USWB11802017
You and Me and Christmastime,Sheffield,"Merry Christmas, Baby",Christmas Hits,Playlist track,QM24S1841408
Christmas Time Is Here - Recorded at Sound Emporium Nashville,Devin Dawson,Spotify Singles - Christmas,Christmas Hits,Playlist track,USWB11802361
Christmas (Baby Please Come Home),ROZES,A Very ROZES Christmas,Christmas Hits,Playlist track,QZ47A1800312
